o_lat,o_lon,d_lat,d_lon,dest_name,cat,distance_m,duration_s,static_duration_s,status_code,condition,duration_min,static_duration_min,origin_name
19.287,-99.655,19.2741771,-99.6495451,Centro De Educacion Para La Atencion De Jovenes Y Adultos Matutino 15eba0878a,school,2166,455.0,455.0,0,ROUTE_EXISTS,7.583333333333333,7.583333333333333,O1_Conjunto
19.287,-99.655,19.3021423,-99.6304532,Autotransporte Rapidos De Toluca,bus,4301,728.0,728.0,0,ROUTE_EXISTS,12.133333333333333,12.133333333333333,O1_Conjunto
19.287,-99.655,19.2758983,-99.6450455,Autotransportes Primero de Mayo,bus,2436,534.0,534.0,0,ROUTE_EXISTS,8.9,8.9,O1_Conjunto
19.287,-99.655,19.2747022,-99.6438372,Farmacia Veterinaria La Granja,pharma,2686,637.0,637.0,0,ROUTE_EXISTS,10.616666666666667,10.616666666666667,O1_Conjunto
19.287,-99.655,19.2782153,-99.6437282,Transportes De Pasajeros De Segunda Clase Flecha De Oro,bus,2707,629.0,629.0,0,ROUTE_EXISTS,10.483333333333333,10.483333333333333,O1_Conjunto
19.287,-99.655,19.2781602,-99.6437304,Venta De Boletos De Autotransportes de Pasajeros Mex Toluca Flecha Roja,bus,2700,627.0,627.0,0,ROUTE_EXISTS,10.45,10.45,O1_Conjunto
19.287,-99.655,19.2889085,-99.6586861,Centro de Estudios para la Calidad Educativa y la Investigación Científica,school,860,280.0,280.0,0,ROUTE_EXISTS,4.666666666666667,4.666666666666667,O1_Conjunto
19.287,-99.655,19.2931579,-99.5899783,Estacionamiento de el Piojo,bus,7683,950.0,950.0,0,ROUTE_EXISTS,15.833333333333334,15.833333333333334,O1_Conjunto
19.287,-99.655,19.2867181,-99.5940144,Turismo Y Autobuses Mexico Toluca Triangulo Flecha Sa De Cv,bus,6544,691.0,691.0,0,ROUTE_EXISTS,11.516666666666667,11.516666666666667,O1_Conjunto
19.287,-99.655,19.2495462,-99.6340234,Escuela Primaria Profr Adrian Ortega Monroy,school,5386,1062.0,1062.0,0,ROUTE_EXISTS,17.7,17.7,O1_Conjunto
19.287,-99.655,19.2976079,-99.701782,Ibem Escuela Primaria Cctt15ppr7097a,school,6476,1154.0,1154.0,0,ROUTE_EXISTS,19.233333333333334,19.233333333333334,O1_Conjunto
19.287,-99.655,19.2786523,-99.6065112,Escuela Secundaria Oficial Lic. Adolfo López Mateos,school,5939,743.0,743.0,0,ROUTE_EXISTS,12.383333333333333,12.383333333333333,O1_Conjunto
19.287,-99.655,19.2623525,-99.6777899,Linea de transporte publico Adolfo Lopez Mateos,bus,6879,1104.0,1104.0,0,ROUTE_EXISTS,18.4,18.4,O1_Conjunto
19.287,-99.655,19.3138672,-99.6385234,Autobuses Herradura De Occidente,bus,6665,918.0,918.0,0,ROUTE_EXISTS,15.3,15.3,O1_Conjunto
19.287,-99.655,19.2608975,-99.6833373,Sistema De Transportes Tollocan,bus,7412,1104.0,1104.0,0,ROUTE_EXISTS,18.4,18.4,O1_Conjunto
19.287,-99.655,19.2940058,-99.7030057,Escuela Secundaria Federalizada Ricardo Flores Magon,school,6100,1076.0,1076.0,0,ROUTE_EXISTS,17.933333333333334,17.933333333333334,O1_Conjunto
19.287,-99.655,19.2943196,-99.7027343,Escuela Secundaria Ricardo Flores Magon,school,6283,1120.0,1120.0,0,ROUTE_EXISTS,18.666666666666668,18.666666666666668,O1_Conjunto
19.287,-99.655,19.3059263,-99.635738,Autotransportes Azteca Toluca Ixtlahuaca,bus,3802,629.0,629.0,0,ROUTE_EXISTS,10.483333333333333,10.483333333333333,O1_Conjunto
19.287,-99.655,19.2225761,-99.6593656,Compañia Transportista De Toluca,bus,8783,1543.0,1543.0,0,ROUTE_EXISTS,25.716666666666665,25.716666666666665,O1_Conjunto
19.287,-99.655,19.2603919,-99.6956705,Rivendell Preparatory School,school,8671,1138.0,1138.0,0,ROUTE_EXISTS,18.966666666666665,18.966666666666665,O1_Conjunto
19.287,-99.655,19.2770817,-99.6437951,Central de Autobuses ETN Turistar,bus,2736,604.0,604.0,0,ROUTE_EXISTS,10.066666666666666,10.066666666666666,O1_Conjunto
19.287,-99.655,19.2977135,-99.701875,IBEM Instituto Bilingue Educativo de Mexicano,school,6486,1156.0,1156.0,0,ROUTE_EXISTS,19.266666666666666,19.266666666666666,O1_Conjunto
19.287,-99.655,19.2783542,-99.6055712,Escuela secundaria oficial 418 Lic Adolfo López Mateos,school,6051,773.0,773.0,0,ROUTE_EXISTS,12.883333333333333,12.883333333333333,O1_Conjunto
19.287,-99.655,19.3124937,-99.612694,bus (OSM),bus,8536,1199.0,1199.0,0,ROUTE_EXISTS,19.983333333333334,19.983333333333334,O1_Conjunto
19.287,-99.655,19.2929885,-99.7025475,Preescolar Inedib,school,5950,1040.0,1040.0,0,ROUTE_EXISTS,17.333333333333332,17.333333333333332,O1_Conjunto
19.287,-99.655,19.248935,-99.6323504,Escuela Secundaria Oficial Numero 417 Sor Juana Ines De La Cruz Turno Matutino,school,5616,1134.0,1134.0,0,ROUTE_EXISTS,18.9,18.9,O1_Conjunto
19.287,-99.655,19.2879521,-99.7050447,Escuela De Natacion Vida Aquatik,school,6412,1156.0,1156.0,0,ROUTE_EXISTS,19.266666666666666,19.266666666666666,O1_Conjunto
19.287,-99.655,19.2935322,-99.7026873,Escuela Primaria Federal Manuel Savedra,school,6058,1063.0,1063.0,0,ROUTE_EXISTS,17.716666666666665,17.716666666666665,O1_Conjunto
19.287,-99.655,19.3120834,-99.6150194,Cbt Numero 3 Gobierno Del Estado De Mexico Clabe 15ect0105c,school,8377,1215.0,1215.0,0,ROUTE_EXISTS,20.25,20.25,O1_Conjunto
19.287,-99.655,19.2917575,-99.6960917,Escuela Primaria Profra Magdalena Reyes Gómez Cct 15epr4213a,school,5210,959.0,959.0,0,ROUTE_EXISTS,15.983333333333333,15.983333333333333,O1_Conjunto
19.287,-99.655,19.2560719,-99.6221119,Escuela De Manejo Valdez,school,5528,1005.0,1005.0,0,ROUTE_EXISTS,16.75,16.75,O1_Conjunto
19.287,-99.655,19.286746,-99.7035471,Tae Kwon Do,school,6058,1073.0,1073.0,0,ROUTE_EXISTS,17.883333333333333,17.883333333333333,O1_Conjunto
19.287,-99.655,19.3223738,-99.6794476,Centro De Educacion Para La Atencion De Jovenes Y Adultos Libertadores De America,school,8173,1337.0,1337.0,0,ROUTE_EXISTS,22.283333333333335,22.283333333333335,O1_Conjunto
19.287,-99.655,19.2731132,-99.611461,Centro De Formacion Deportiva Hc,school,6946,931.0,931.0,0,ROUTE_EXISTS,15.516666666666667,15.516666666666667,O1_Conjunto
19.287,-99.655,19.2729276,-99.6111827,Colegio Forger,school,6825,905.0,905.0,0,ROUTE_EXISTS,15.083333333333334,15.083333333333334,O1_Conjunto
19.287,-99.655,19.3170908,-99.6451535,Flecha Roja,bus,5728,767.0,767.0,0,ROUTE_EXISTS,12.783333333333333,12.783333333333333,O1_Conjunto
19.287,-99.655,19.2431799,-99.6424048,Escuela Secundaria Lic Jun Fernandez Albarran,school,5774,1102.0,1102.0,0,ROUTE_EXISTS,18.366666666666667,18.366666666666667,O1_Conjunto
19.287,-99.655,19.2649335,-99.6159733,Escuela Primaria Federalizada Gregorio Torres Quintero,school,5436,956.0,956.0,0,ROUTE_EXISTS,15.933333333333334,15.933333333333334,O1_Conjunto
19.287,-99.655,19.2830815,-99.609274,Bussiness Kids,school,5793,710.0,710.0,0,ROUTE_EXISTS,11.833333333333334,11.833333333333334,O1_Conjunto
19.287,-99.655,19.3259179,-99.6689518,Escuela De Futbol Chivas Bufalos,school,7522,1153.0,1153.0,0,ROUTE_EXISTS,19.216666666666665,19.216666666666665,O1_Conjunto
19.287,-99.655,19.2624125,-99.6944858,Escuela Telesecundaria Federal Heriberto Enríquez,school,8818,1183.0,1183.0,0,ROUTE_EXISTS,19.716666666666665,19.716666666666665,O1_Conjunto
