origin_name,dest_name,cat,distance_m,duration_min,speed_kmh
O3_ZonaSur,Pihcsa Para Hospitales,pharma,13585,22.33333333333333,36.49701492537314
O3_ZonaSur,Phicsa,pharma,12814,19.51666666666667,39.394022203245086
O2_Centro,Farmacia,pharma,12469,25.06666666666667,29.846010638297866
O1_Conjunto,Farmacias Similares,pharma,12443,24.56666666666667,30.389959294436903
O2_Centro,Farmacias Similares,pharma,12184,24.88333333333333,29.37870060281313
O1_Conjunto,Phicsa,pharma,12149,20.11666666666667,36.23562551781275
O3_ZonaSur,Oxxo,super,11902,23.28333333333333,30.670866141732283
O2_Centro,Farmacias Similares,pharma,11700,21.91666666666667,32.03041825095056
O1_Conjunto,Super Texas,super,11698,28.38333333333333,24.728596594245452
O3_ZonaSur,Oxxo,super,11567,17.53333333333333,39.582889733840304
O3_ZonaSur,Farmacias Guadalajara,pharma,11264,16.18333333333333,41.76148300720907
O3_ZonaSur,Venta De Medicamento,pharma,11197,16.85,39.870623145400586
O2_Centro,Escuela Primaria Profesor Heriberto Enriquez,school,11111,22.41666666666667,29.739479553903344
O2_Centro,Estudio Fenix,school,11046,22.05,30.057142857142857
O2_Centro,Super Texas,super,10919,24.35,26.90513347022587
