engine,o_lat,o_lon,d_lat,d_lon,dest_name,cat,distance_m,duration_s,static_duration_s,status_code,condition,travelAdvisory_json,localizedValues_json,fallbackInfo_json,brand,operator,opening_hours,addr_street,addr_housenumber,addr_neighbourhood,addr_city,addr_postcode,phone,website,osm_type,osm_id,duration_min,static_duration_min
google,19.287,-99.655,19.2924523,-99.651921,parking (OSM),parking,1006.0,273.0,273.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""1.0 km""}, ""duration"": {""text"": ""5 mins""}, ""staticDuration"": {""text"": ""5 mins""}}",,,,,,,,,,,,way,482059015.0,4.55,4.55
google,19.287,-99.655,19.2783897,-99.6566116,Estacionamiento CDF,parking,1550.0,382.0,382.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""1.6 km""}, ""duration"": {""text"": ""6 mins""}, ""staticDuration"": {""text"": ""6 mins""}}",,,,,,,,,,,,,,6.366666666666666,6.366666666666666
google,19.287,-99.655,19.2867135,-99.6615388,parking (OSM),parking,1645.0,400.0,400.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""1.6 km""}, ""duration"": {""text"": ""7 mins""}, ""staticDuration"": {""text"": ""7 mins""}}",,,,,,,,,,,,way,1311407225.0,6.666666666666667,6.666666666666667
google,19.287,-99.655,19.2881237,-99.6634727,parking (OSM),parking,1800.0,486.0,486.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""1.8 km""}, ""duration"": {""text"": ""8 mins""}, ""staticDuration"": {""text"": ""8 mins""}}",,,,,,,,,,,,way,481857754.0,8.1,8.1
google,19.287,-99.655,19.2942916,-99.6572466,parking (OSM),parking,1094.0,346.0,346.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""1.1 km""}, ""duration"": {""text"": ""6 mins""}, ""staticDuration"": {""text"": ""6 mins""}}",,,,,,,,,,,,way,260694104.0,5.766666666666667,5.766666666666667
google,19.287,-99.655,19.2918004,-99.6523816,parking (OSM),parking,855.0,222.0,222.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""0.9 km""}, ""duration"": {""text"": ""4 mins""}, ""staticDuration"": {""text"": ""4 mins""}}",,,,,,,,,,,,way,1413543557.0,3.7,3.7
google,19.287,-99.655,19.2835376,-99.6604779,parking (OSM),parking,1531.0,469.0,469.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""1.5 km""}, ""duration"": {""text"": ""8 mins""}, ""staticDuration"": {""text"": ""8 mins""}}",,,,,,,,,,,,way,315701344.0,7.816666666666666,7.816666666666666
google,19.287,-99.655,19.283036,-99.6580607,parking (OSM),parking,1195.0,318.0,318.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""1.2 km""}, ""duration"": {""text"": ""5 mins""}, ""staticDuration"": {""text"": ""5 mins""}}",,,,,,,,,,,,way,865617780.0,5.3,5.3
google,19.287,-99.655,19.2915498,-99.6582301,parking (OSM),parking,1229.0,382.0,382.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""1.2 km""}, ""duration"": {""text"": ""6 mins""}, ""staticDuration"": {""text"": ""6 mins""}}",,,,,,,,,,,,node,4632984086.0,6.366666666666666,6.366666666666666
google,19.287,-99.655,19.2923384,-99.6588701,parking (OSM),parking,1091.0,349.0,349.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""1.1 km""}, ""duration"": {""text"": ""6 mins""}, ""staticDuration"": {""text"": ""6 mins""}}",,,,,,,,,,,,way,260694603.0,5.816666666666666,5.816666666666666
