origin_index,origin_name,o_lat,o_lon,dest_name,d_lat,d_lon,cat,k,v,km_straight,brand,operator,opening_hours,addr_street,addr_housenumber,addr_neighbourhood,addr_city,addr_postcode,phone,website,osm_type,osm_id
0,O1_Conjunto,19.287,-99.655,Soriana,19.2865297,-99.653556,super,shop,supermarket,0.16032283099919437,,,,Benito Juarez Garcia,,,Toluca de Lerdo,,,,way,315331524
0,O1_Conjunto,19.287,-99.655,Súper Compras,19.2894882,-99.6568576,super,shop,supermarket,0.3384658748965784,,,,,,,,,,,node,4066975911
0,O1_Conjunto,19.287,-99.655,super (OSM),19.2925124,-99.6543379,super,shop,supermarket,0.6168772533620971,,,,,,,,,,,node,4633144813
0,O1_Conjunto,19.287,-99.655,La Estrella,19.2923025,-99.6531097,super,shop,supermarket,0.6220936656226516,,,,Avenida Independencia,205,,Toluca de Lerdo,50090,,,node,4883681992
0,O1_Conjunto,19.287,-99.655,Prak tis,19.2902688,-99.6610022,super,shop,supermarket,0.7272896241495659,,,,,,,,,,,node,4032160878
0,O1_Conjunto,19.287,-99.655,Garis,19.2875671,-99.6621316,super,shop,supermarket,0.7511417518691276,,,,,,,,,,,way,345742931
0,O1_Conjunto,19.287,-99.655,Bodega Aurrera Express,19.2921475,-99.6633593,super,shop,supermarket,1.0475313933834967,,,,Avenida Sebastián Lerdo de Tejada,500,,Toluca de Lerdo,50040,,,node,4724565993
0,O1_Conjunto,19.287,-99.655,Sanborns,19.2785176,-99.6595698,super,shop,supermarket,1.0581460125252626,,,,Avenida General Venustiano Carranza,2000,,Toluca,50120,,,node,5825291245
0,O1_Conjunto,19.287,-99.655,Super kompras Micro Lerdo,19.2919658,-99.6640843,super,shop,supermarket,1.1017737780340005,,,,Avenida Sebastián Lerdo de Tejada,516,,Toluca de Lerdo,50040,,,node,4749173240
0,O1_Conjunto,19.287,-99.655,Super Kompras,19.2962844,-99.6472148,super,shop,supermarket,1.3165873147165925,,,,,,,,,,,node,4710524094
0,O1_Conjunto,19.287,-99.655,Walmart,19.2810178,-99.6393299,super,shop,supermarket,1.7740990968898867,,,,,,,,,,,way,204598273
