tile,osm_type,osm_id,lat,lon,k,v,name,brand,operator,opening_hours,addr_street,addr_housenumber,addr_neighbourhood,addr_city,addr_postcode,phone,website,wheelchair,emergency,beds,brand_wikidata
4,node,12519047710,19.217461,-99.6674162,amenity,school,Escuela Primaria Federal Sor Juana Ines De La Cruz,,,,Calle Carlos León,,,,50275,,,,,,
4,node,12520004169,19.2216788,-99.6607874,amenity,clinic,Centro De Salud San Juan Tilapa,,,,Calle Benito Juárez,,,,50255,,,,,,
4,node,12528212997,19.2232812,-99.6662776,amenity,school,Escuela Secundaria Federal Áquiles Serdán,,,,Calle Nicolás Bravo,,,,50270,,,,,,
4,node,12540897930,19.2237852,-99.6644738,amenity,clinic,Consultorio De Ginecología Los Angeles,,,,Calle Benito Juárez,,,,50270,7222985059,,,,,
4,node,12543053626,19.2206008,-99.6617397,amenity,school,Primaria federal Juan Martinez Salcedo,,,,Calle Toluca,,,Toluca,50225,7222981591,,,,,
4,node,12577151994,19.2216912,-99.6611213,amenity,school,Escuela Para Adultos Lic Benito Juarez,,,,Calle Benito Juárez,,,,50255,,,,,,
4,node,12695466656,19.2237978,-99.6643947,healthcare,hospital,Grupo Médico Los Angeles,,,,Calle Benito Juárez,,,,50225,7222985059,,,,,
4,node,12750154126,19.2216952,-99.6605913,amenity,clinic,Consultorios De Marfacias Fundacion B,,,,,,,,,,,,,,
4,node,12779223824,19.2225761,-99.6593656,amenity,bus_station,Compañia Transportista De Toluca,,,,,,,,,,,,,,
4,way,397179217,19.2211774,-99.6616673,amenity,school,Escuela Benito Juárez,,,,Calle Benito Juarez,,,toluca,20290,,,,,,
5,node,4862108419,19.2117665,-99.6300837,amenity,pharmacy,Farmacia GI,,,,,,,,,,,,,,
5,node,4862109323,19.212268,-99.6303921,amenity,pharmacy,Farmacia,,,,,,,,,,,,,,
5,node,12508194373,19.2111544,-99.6273038,amenity,clinic,Centro De Salud De Santa Maria Nativitas,,,,Gardner Street,,,,52230,,,,,,
5,node,12508322644,19.2140443,-99.6304339,amenity,school,Escuela Primaria Federal Amado Nervo,,,,Calle 5 de Febrero,,,,52230,,,,,,
5,node,12527088895,19.2078313,-99.6291666,shop,convenience,Venta De Maiz Precocido,,,,Calle Eucario López Contreras,,,,52230,,,,,,
5,node,12530062901,19.2109036,-99.6276547,amenity,school,Centro de educación para atención de jovenes y adultos Juan Ruiz de Alarcón,,,,Gardner Street,,,,52230,,,,,,
5,node,12544691040,19.2091509,-99.6292157,shop,convenience,Bodega de maiz,,,,Avenida Agustin de Iturbide,,,,52230,,,,,,
5,node,12548516705,19.2111736,-99.6278692,amenity,school,Centro De Educacion Para Atencion De Jovenes Y Adultos Juan Ruiz De Alarcon,,,,,,,,52230,,,,,,
5,node,12549556325,19.2166355,-99.6294075,amenity,school,Secundaria Tecnica N 84 Ramón López Velarde,,,,Avenida 5 de Mayo,,,,52230,,,,,,
5,node,12624544106,19.2131781,-99.6286391,amenity,school,Instituto Patria,,,,Avenida Jesús María,,,,52230,,,,,,
5,way,655502846,19.2166864,-99.6288969,amenity,school,Secundaria Tecnica N. 84 Ramon Lopez Velare,,,,,,,,,,,,,,
7,node,4110798173,19.2203369,-99.5918418,amenity,fuel,Pemex 3154 SERVICIO MEXICALTZINGO,,,,Tenango de Arista - Toluca,,,Mexicaltzingo,,,,,,,
7,node,4290310190,19.2192571,-99.5922336,amenity,fuel,Pemex 3154 SERVICIO MEXICALTZINGO,,,,,,,,,,,,,,
7,node,4327056298,19.2049047,-99.5875742,amenity,fuel,Pemex 11739 SERVICIO MAZACHULCO,,,,Toluca - Tenango de Arista,,,,,,,,,,
7,node,5663881122,19.2188438,-99.5922583,shop,convenience,Oxxo,Oxxo,,,Toluca - Tenango de Arista,,,,,,https://www.oxxo.com/tiendas?cr=50TMG,,,,Q1342538
7,node,9896378961,19.2075201,-99.5806671,amenity,fuel,Mobil,Mobil,,,,,,,,,,,,,Q109676002
7,node,9896378979,19.2182162,-99.5918049,amenity,fuel,Mobil,Mobil,,,,,,,,,,,,,Q109676002
7,node,9896379001,19.2238869,-99.5939293,amenity,fuel,Shell,Shell,,,,,,,,,,,,,Q110716465
7,node,9896379002,19.2236109,-99.5938756,shop,convenience,Shell Select,Shell Select,,,,,,,,,,,,,Q110716465
7,node,9896538362,19.2140473,-99.5894419,amenity,clinic,Homeopatia,,,,,,,,,,,,,,
7,node,9996008194,19.2097431,-99.578111,amenity,school,CEPLA Justo Sierra.,,,,Calle Prisciliano Díaz González,,,Mexicaltzingo,52180,,,,,,
7,node,9996008267,19.2085964,-99.5768014,amenity,fire_station,Bomberos y Protección Civil Mexicaltzingo,,,,,,,,,,,,,,
7,node,12545072586,19.210762,-99.5877183,amenity,clinic,,,,,Calle Josefa Ortiz De Domínguez,,,,52180,,,,,,
7,node,12545656648,19.2109737,-99.5867385,amenity,post_office,Ag. M. San Mateo Mexicaltzingo,,,,Calle Independencia,,,Mexicaltzingo,52180,,,,,,
7,node,12547722087,19.2072401,-99.57799,amenity,school,Preparatoria Oficial Numero 45 Turno Matutino,,,,Calle Prisciliano Díaz González,,,,52180,7222631411,,,,,
7,node,12563778982,19.2105938,-99.5878682,amenity,clinic,Farmacia Y Consultorio Dulce Nombre De Jesus,,,,Calle 5 de Febrero,,,,52180,,,,,,
7,node,12564244416,19.2120426,-99.5834117,amenity,clinic,Consultorio médico,,,,Calle Insurgentes,,,Mexicaltzingo,52180,,,,,,
7,node,12566133768,19.2072563,-99.5884936,amenity,school,Colegio Renaissance,,,,Calle Cuauhtémoc,,,,52180,,,,,,
7,node,12590276383,19.2093181,-99.578096,amenity,school,Escuela Secundaria 0328 Juventino Rosas Turno Matutino,,,,Calle Prisciliano Díaz González,,,Mexicaltzingo,52180,,,,,,
7,node,12598433148,19.2105948,-99.5873237,amenity,clinic,Consultorio Medico,,,,5 De Febrero,,Allende,,52180,,,,,,
7,node,12741635517,19.2074929,-99.5878013,shop,convenience,Miscelánea Las Gemelas,,,,,,,,,,,,,,
7,node,12776338649,19.208235,-99.5869856,amenity,hospital,Hospital De San Mateomexicaltzingo,,,,,,,,,,,,,,
7,way,425026970,19.211236,-99.5868445,amenity,parking,,,,,,,,,,,,,,,
7,way,425026974,19.2130362,-99.577994,amenity,school,Telesecundaria Licenciado Alvaro Galves y Fuentes,,,,Insugentes,,,Mexicaltzingo,52180,,,,,,
7,way,425026975,19.2119742,-99.5775919,amenity,school,Escuela Primaria Federal Juan Escutia Turno Vespertino,,,,Calle Independencia,,,Mexicaltzingo,52180,,,,,,
7,way,425026978,19.2091407,-99.5775287,amenity,school,Secundaria Juventino Rosas,,,,,,,,,,,,,,
7,way,534620646,19.2021629,-99.580742,amenity,school,Secundaria Tecnica Industrial Comercial No. 21,,,,,,,,,,,,,,
7,way,534620666,19.2070379,-99.5773758,amenity,school,Preparatoria No. 45,,,,,,,,,,,,,,
7,way,534620671,19.2078556,-99.5774371,amenity,school,Escuela Primaria Axayacatl Cctt 15epr25910,,,,Calle Narciso Mendoza,,,,52180,,,,,,
7,way,534620682,19.2085787,-99.5775154,amenity,school,Kinder Teceltican,,,,,,,,,,,,,,
7,way,1079658440,19.2139485,-99.5895625,shop,mall,,,,,,,,,,,,,,,
7,way,1091372809,19.208401,-99.5887002,amenity,library,"Biblioteca Pública Municipal ""Lorenzo Camacho Escamilla""",,,,,,,,,,,,,,
7,way,1091380051,19.2086037,-99.5768583,amenity,fire_station,,,,,,,,,,,,,,,
7,way,1091380924,19.2082037,-99.5811486,shop,convenience,Oxxo,Oxxo,,,,,,,,,,,,,Q1342538
8,node,4110798150,19.2039625,-99.5692192,amenity,fuel,SERVICIO M&M,,,,Mexicaltzingo-Tianguistengo-Xalatlaco,,,Chapultepec,,,,,,,
8,node,4110798151,19.2037949,-99.5689344,shop,convenience,Oxxo,Oxxo,,,,,,,,,,,,,Q1342538
8,node,7851821154,19.2034124,-99.5590399,amenity,hospital,Centro Especializado en Atención Primaria a La Salud Bicentenario,,,,Avenida Libertad,,,Chapultepec,,,,,,,
8,node,9896378929,19.2040817,-99.5693307,amenity,fuel,FULLGAS,,,,,,,,,,,,,,
